id,user_stage,direction,goal,timeline,experience,available_days,difficulty,previous_goals_count,completed_goals_count,pathway_type,total_duration,num_phases,total_steps
RIPPLE_0001,University Student,Get a Job,Software Engineering,1 Month,Beginner,Mon;Tue;Wed;Thu;Fri;Sat,Moderate,2,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0002,Building My Own Thing,Startup,B2B SaaS to First 10 Customers,3 Months,Beginner (Basic theory / introductory coursework),Mon;Wed;Fri;Sat,Moderate,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0003,Building My Own Thing,Startup,AI Micro-SaaS Launch,6 Months,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri,Easy,1,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0004,Changing Careers,Switch Industry,Data Science Career Pivot,6 Months,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,2,2,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0005,High School,University,Top Tier CS University Admissions,3 Months,Beginner (No prior background),Sat;Sun,Easy,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0006,High School,Learn a Skill,Mobile App Development,3 Months,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0007,Working,Grow in My Career,Executive Presence & Tech Lead,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri;Sat;Sun,Hard,1,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0008,Building My Own Thing,Startup,Mobile App with 10k Downloads,1 Week,Beginner (Basic theory / introductory coursework),Sat;Sun,Easy,2,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0009,High School,Learn a Skill,Full-Stack Web Basics,3 Months,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Moderate,1,1,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0010,High School,Start Working,Resume & Interview Readiness,1 Month,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri;Sat,Easy,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0011,Entrepreneur,Grow My Business,Hire First 3 Core Engineers,3 Months,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Moderate,2,1,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0012,Just Graduated,Higher Studies,Graduate School Applications,1 Month,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri,Hard,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0013,Just Graduated,Find a Job,Digital Marketing Specialist,6 Months,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri,Easy,1,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0014,Working,Better Work-Life Balance,Deep Work Systems & Burnout Recovery,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri,Easy,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0015,Building My Own Thing,Small Business,Local Service Agency Launch,1 Week,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri;Sat,Intensive,3,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0016,Entrepreneur,Grow My Business,Product Hunt Launch to #1 Product of Day,1 Month,Beginner (Basic theory / introductory coursework),Mon;Wed;Fri;Sat,Hard,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0017,Changing Careers,Learn New Skills,Cloud & DevOps (AWS/Docker),1 Week,Beginner (No prior background),Tue;Thu;Sat;Sun,Hard,1,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0018,Changing Careers,Switch Industry,Software Engineering Bootcamp to Job,6 Months,Beginner (No prior background),Mon;Wed;Fri;Sat,Moderate,3,3,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0019,Working,Higher Salary,Target FAANG / Tier 1 Tech Offer,6 Months,Beginner (No prior background),Mon;Wed;Fri;Sat,Moderate,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0020,High School,University,Scholarship Strategy,1 Month,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri,Moderate,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0021,Building My Own Thing,Startup,B2B SaaS to First 10 Customers,1 Week,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri,Hard,1,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0022,Changing Careers,Switch Industry,Data Science Career Pivot,6 Months,Beginner (Basic theory / introductory coursework),Sat;Sun,Intensive,1,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0023,Building My Own Thing,Small Business,Local Service Agency Launch,6 Months,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Intensive,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0024,Building My Own Thing,Startup,B2B SaaS to First 10 Customers,6 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri;Sat,Easy,1,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
